Customer_ID,DOB,Gender,Annual_Income,Spending_Score,Shopping_Category,Shopping_Frequency,Total_Spent
CUST0047,1975-10-14,Female,84219.0,64,Toys,8,431.2
CUST0048,1997-07-02,Female,66921.0,68,,29,1319.68
CUST0049,1949-02-06,Male,34051.0,65,Clothing,15,332.0
CUST0050,2006-05-31,Female,75627.0,30,Electronics,12,272.26
CUST0051,1993-05-01,Male,48329.0,47,Toys,8,181.72
CUST0052,1956-02-07,Male,78683.0,95,Furniture,16,1195.98
CUST0053,2000-03-29,Male,76724.0,65,Electronics,9,448.84
CUST0054,1958-11-13,Male,97556.0,83,Toys,9,728.74
CUST0055,1971-04-26,M,,6,Electronics,2,
CUST0056,1995-06-26,Male,29303.0,62,Electronics,27,490.53
CUST0057,1945-06-15,Male,148368.0,12,Sports,17,302.67
CUST0058,1997-05-24,Female,69315.0,69,Clothing,17,813.06
CUST0059,1966-11-05,Female,,11,,3,
CUST0060,1968-08-05,Female,112653.0,81,Toys,18,1642.48
CUST0061,1992-06-17,Male,128332.0,76,,13,1267.92
CUST0062,1957-02-27,Male,110730.0,1,Clothing,1,1.11
CUST0063,1969-12-15,Male,121356.0,95,,2,230.58
CUST0064,1979-10-26,Female,89327.0,5,Clothing,16,71.46
CUST0065,1963-03-09,Female,98889.0,N/A,Electronics,28,
CUST0066,1966-07-25,Female,108191.0,80,Clothing,6,519.32
CUST0067,1976-11-20,Female,143684.0,68,Clothing,25,2442.63
CUST0068,1965-04-11,Female,128972.0,86,,24,2661.98
CUST0069,1957-12-18,Male,39431.0,49,Furniture,26,502.35
CUST0070,1947-11-14,Female,61624.0,N/A,Clothing,2,
CUST0071,1999-05-15,Female,131437.0,32,Groceries,2,84.12
CUST0072,1955-12-19,Male,105209.0,31,Sports,29,945.83
CUST0073,1967-06-30,Male,145752.0,12,Electronics,13,227.37
CUST0074,1998-03-07,Male,130441.0,88,Sports,9,1033.09
CUST0075,1987-02-24,Female,31875.0,31,Furniture,7,69.17
CUST0076,1987-08-26,Female,140726.0,54,Clothing,5,379.96
CUST0077,1994-10-21,Male,36212.0,N/A,Toys,10,
CUST0078,1948-12-27,female,63866.0,11,Clothing,20,140.51
CUST0079,1960-06-08,Female,82794.0,89,Groceries,2,147.37
CUST0080,1955-12-15,Male,24971.0,48,Toys,5,59.93
CUST0081,1976-04-07,Female,99939.0,65,Electronics,29,1883.85
CUST0082,1980-12-12,Male,87718.0,52,Groceries,29,1322.79
CUST0083,1952-10-09,Female,91188.0,70,Clothing,3,191.49
CUST0084,1988-05-26,N/A,72099.0,51,,13,478.02
CUST0085,1973-11-08,Female,48797.0,93,Clothing,23,1043.77
CUST0086,1977-09-25,Female,27148.0,73,,9,178.36
CUST0087,2004-05-27,Male,143417.0,85,Furniture,6,731.43
CUST0088,1971-02-21,Female,125233.0,89,Sports,5,557.29
CUST0089,2002-01-11,M,103503.0,3,Groceries,25,77.63
CUST0090,1954-12-16,Male,74857.0,99,Groceries,14,1037.52
CUST0091,1996-10-22,Male,58394.0,43,Groceries,9,225.98
CUST0092,1985-04-30,Male,72434.0,56,Clothing,6,243.38
CUST0093,1958-12-06,Male,58564.0,24,Sports,1,14.06
CUST0094,1980-09-25,Male,80824.0,36,,9,261.87
CUST0095,1947-09-12,Female,113126.0,91,Electronics,23,2367.73
CUST0096,1991-07-13,Female,89577.0,5,,10,44.79
CUST0097,1988-02-16,Male,54703.0,25,,11,150.43
CUST0098,1957-02-02,Male,149630.0,32,Toys,27,1292.8
CUST0099,1960-02-10,Male,90445.0,21,Toys,3,56.98
CUST0100,1995-08-27,Male,35761.0,61,,25,545.36
CUST0101,2002-10-21,F,59243.0,3,Electronics,8,14.22
CUST0102,1961-07-29,Male,97816.0,74,Electronics,9,651.45
CUST0103,1955-11-28,Male,131644.0,77,,16,1621.85
CUST0104,1986-07-30,Male,84100.0,87,Toys,24,1756.01
CUST0105,1988-07-22,Male,60181.0,17,Clothing,14,143.23
CUST0106,2002-09-26,Male,24765.0,47,Sports,28,325.91
CUST0107,1955-12-15,Female,,37,Toys,6,
CUST0108,1952-08-10,Female,90337.0,90,Toys,23,1869.98
CUST0109,1960-11-29,Male,131689.0,55,,25,1810.72
CUST0110,1990-04-10,male,49149.0,68,Groceries,11,367.63
CUST0111,1977-12-02,Female,54502.0,46,Electronics,27,676.91
CUST0112,1978-04-28,Female,29277.0,68,Clothing,26,517.62
CUST0113,1988-06-11,Male,76687.0,35,Groceries,7,187.88
CUST0114,1997-01-26,Male,61379.0,21,Groceries,29,373.8
CUST0115,2005-05-08,female,41649.0,61,Sports,25,635.15
CUST0116,1957-06-13,Female,65205.0,28,Groceries,30,547.72
CUST0117,1988-03-02,Female,,58,,22,
CUST0118,1974-09-19,Female,,31,,26,
CUST0119,1968-01-30,Male,62315.0,67,Furniture,5,208.76
CUST0120,1964-10-20,Male,68846.0,,Clothing,25,
CUST0121,1970-08-26,Male,56036.0,35,Electronics,30,588.38
CUST0122,1960-10-14,Female,74494.0,71,Toys,15,793.36
CUST0123,1967-10-15,Female,99807.0,90,Clothing,3,269.48
CUST0124,1946-09-24,Female,110722.0,99,Toys,16,1753.84
CUST0125,1979-06-06,Male,30847.0,22,Furniture,7,47.5
CUST0126,1992-01-31,Female,,25,,21,
CUST0127,1969-05-02,Male,106852.0,5,Sports,29,154.94
CUST0128,1969-06-20,Male,34299.0,1,Toys,9,3.09
CUST0129,1975-03-22,Female,24150.0,62,Electronics,16,239.57
CUST0130,1960-12-28,Female,142943.0,98,Toys,4,560.34
CUST0131,1953-08-09,male,74467.0,,Electronics,10,
CUST0132,1992-11-05,Male,67048.0,57,Furniture,20,764.35
CUST0133,1992-07-13,Female,58886.0,41,Electronics,6,144.86
CUST0134,1956-01-16,Male,51684.0,72,Furniture,18,669.82
CUST0135,1984-05-09,Male,92179.0,80,Sports,28,2064.81
CUST0136,1955-09-30,Male,44778.0,98,Furniture,27,1184.83
CUST0137,2004-05-16,Female,39762.0,5,Toys,29,57.65
CUST0138,1949-03-02,Male,87047.0,17,Groceries,16,236.77
CUST0139,1981-04-07,Female,138554.0,13,Groceries,5,90.06
CUST0140,2002-01-21,Male,127467.0,6,Sports,17,130.02
CUST0141,1968-08-29,Male,123146.0,80,Furniture,28,2758.47
CUST0142,1959-08-16,Female,143012.0,22,Electronics,19,597.79
CUST0143,2005-12-24,Female,112437.0,20,Electronics,28,629.65
CUST0144,1988-08-22,Male,93499.0,2,Clothing,6,11.22
CUST0145,1969-02-02,Female,22977.0,54,Sports,5,62.04
CUST0146,1956-06-02,F,120861.0,66,Groceries,13,1036.99
CUST0147,1968-09-15,MALE,,92,,20,
CUST0148,2005-07-25,Female,52012.0,100,Clothing,7,364.08
CUST0149,1996-05-14,Male,27791.0,58,Toys,1,16.12
CUST0150,1973-02-13,Male,148668.0,87,Groceries,9,1164.07
CUST0151,1990-08-06,Male,137748.0,16,Sports,21,462.83
CUST0152,1958-09-18,M,98950.0,80,Furniture,24,1899.84
CUST0153,1986-05-28,Female,95476.0,2,Clothing,14,26.73
CUST0154,1977-07-30,Male,145518.0,6,Furniture,14,122.24
CUST0155,1954-10-31,Female,30910.0,84,Sports,4,103.86
CUST0156,1994-05-21,Male,82224.0,81,Electronics,2,133.2
CUST0157,1976-10-19,N/A,119797.0,45,Electronics,30,1617.26
CUST0158,1980-02-02,Female,80764.0,69,Toys,7,390.09
CUST0159,2001-07-18,Male,144968.0,52,Furniture,16,1206.13
CUST0160,1962-08-17,Female,104445.0,19,Toys,14,277.82
CUST0161,1975-11-08,Male,31814.0,29,Furniture,14,129.16
CUST0162,1981-07-13,Male,40159.0,92,Groceries,4,147.79
CUST0163,1952-08-07,Male,82594.0,56,Groceries,15,693.79
CUST0164,1998-05-28,Female,138216.0,51,Furniture,22,1550.78
CUST0165,1987-11-19,Female,88451.0,31,Groceries,7,191.94
CUST0166,1963-01-04,Male,101169.0,23,Toys,2,46.54
CUST0167,1987-09-02,Female,70123.0,71,Toys,14,697.02
CUST0168,1964-10-13,FEMALE,78636.0,26,Groceries,12,245.34
CUST0169,1956-09-09,Female,128779.0,86,Clothing,28,3101.0
CUST0170,1983-02-04,F,34535.0,82,Furniture,2,56.64
CUST0171,1979-02-15,Female,122036.0,12,,13,190.38
CUST0172,1989-04-19,Female,99265.0,92,,16,1461.18
CUST0173,1974-12-07,Male,79293.0,15,Toys,18,214.09
CUST0174,1972-11-26,Female,108203.0,9,Toys,2,19.48
CUST0175,1985-07-05,Female,27692.0,8,Electronics,17,37.66
CUST0176,2001-03-18,Male,66575.0,71,Clothing,10,472.68
CUST0177,2002-11-03,Female,107164.0,91,Clothing,27,2633.02
CUST0178,1979-08-28,Male,80883.0,97,Furniture,11,863.02
CUST0179,1987-11-17,Male,96732.0,14,Electronics,23,311.48
CUST0180,2005-09-16,,30767.0,62,Groceries,17,324.28
CUST0181,1980-07-06,Female,112835.0,11,,18,223.41
CUST0182,1987-10-17,Female,75239.0,92,,15,1038.3
CUST0183,1963-09-26,Female,37236.0,95,Furniture,1,35.37
CUST0184,1956-06-13,Male,75536.0,80,Groceries,6,362.57
CUST0185,2006-10-31,Male,108881.0,60,Toys,21,1371.9
CUST0186,1981-12-08,M,129047.0,100,Furniture,15,1935.7
CUST0187,1997-11-25,Male,26956.0,73,Toys,16,314.85
CUST0188,1982-06-09,Female,,94,Electronics,16,
CUST0189,2001-08-07,Female,126308.0,99,Electronics,3,375.13
CUST0190,1987-06-09,Male,22978.0,3,Sports,1,0.69
CUST0191,1954-06-21,Male,126494.0,16,Clothing,8,161.91
CUST0192,1976-02-22,Male,50925.0,90,Furniture,26,1191.64
CUST0193,2005-09-12,Female,26019.0,36,Furniture,12,112.4
CUST0194,1983-03-18,Male,24282.0,33,Furniture,14,112.18
CUST0195,1978-06-14,Male,79434.0,93,Furniture,25,1846.84
CUST0196,1980-05-28,Female,23874.0,33,Sports,28,220.6
CUST0197,1958-09-24,Male,68712.0,47,Toys,1,32.29
CUST0198,1947-12-19,Female,43129.0,45,Furniture,1,19.41
CUST0199,1969-07-25,Male,39768.0,14,Sports,23,128.05
CUST0200,1974-02-21,Female,128724.0,61,Electronics,3,235.56
CUST0201,1995-11-24,Male,32566.0,43,Furniture,24,336.08
CUST0202,1966-03-23,Male,135361.0,45,Sports,3,182.74
CUST0203,1955-07-10,Female,115656.0,68,Electronics,2,157.29
CUST0204,1997-03-09,Male,121453.0,60,Furniture,21,1530.31
CUST0205,1989-04-06,Male,101637.0,32,Clothing,3,97.57
CUST0206,2002-08-15,Female,48085.0,71,Toys,27,921.79
CUST0207,1980-01-17,Female,117297.0,68,Toys,14,1116.67
CUST0208,1961-05-01,Male,57592.0,57,Clothing,6,196.96
CUST0209,1966-09-14,MALE,28797.0,55,Electronics,29,459.31
CUST0210,1982-02-10,Female,69366.0,28,Clothing,13,252.49
CUST0211,1984-09-01,Male,137602.0,13,Toys,5,89.44
CUST0212,1993-03-27,Male,100503.0,35,Electronics,2,70.35
CUST0213,1947-09-22,Male,32019.0,57,Furniture,4,73.0
CUST0214,1992-06-04,Male,146236.0,24,Sports,28,982.71
CUST0215,1986-01-29,M,47685.0,88,Furniture,1,41.96
CUST0216,1982-05-27,FEMALE,146685.0,80,Sports,13,1525.52
CUST0217,2000-12-07,Male,121516.0,74,Sports,4,359.69
CUST0218,1947-07-07,Male,68042.0,44,Electronics,7,209.57
CUST0219,2003-09-20,Male,119181.0,9,,2,21.45
CUST0220,1981-08-11,Female,126455.0,56,Electronics,29,2053.63
CUST0221,1962-09-02,Female,93008.0,98,Electronics,25,2278.7
CUST0222,2006-01-17,Female,87251.0,47,Sports,5,205.04
CUST0223,1970-07-19,Male,95610.0,63,Clothing,4,240.94
CUST0224,2003-12-24,Male,74555.0,,Electronics,18,
CUST0225,1978-03-13,Female,138542.0,71,Sports,16,1573.84
CUST0226,1997-03-26,Female,83093.0,90,Toys,12,897.4
CUST0227,1973-11-06,Female,59404.0,N/A,Groceries,29,
CUST0228,1946-05-23,Male,82977.0,56,,15,697.01
CUST0229,1990-08-11,Female,43398.0,79,Furniture,18,617.12
CUST0230,1995-01-07,Female,94446.0,8,Electronics,20,151.11
CUST0231,1978-01-02,Female,29135.0,76,Toys,10,221.43
CUST0232,2003-10-08,Male,74366.0,25,Furniture,12,223.1
CUST0233,1981-01-16,Female,,62,,7,
CUST0234,1999-06-03,female,45449.0,40,,28,509.03
CUST0235,1965-09-09,Female,57464.0,43,Sports,21,518.9
CUST0236,1991-03-10,Male,54490.0,35,Sports,8,152.57
CUST0237,1949-03-31,Female,20506.0,40,Sports,30,246.07
CUST0238,1956-02-20,Female,56150.0,97,Clothing,4,217.86
CUST0239,1954-04-15,Female,24621.0,77,Electronics,5,94.79
CUST0240,1952-09-06,Male,138915.0,49,Groceries,1,68.07
CUST0241,1967-02-28,Male,,32,Toys,9,
CUST0242,2005-04-05,Male,116256.0,90,Sports,19,1987.98
CUST0243,1998-07-09,Female,117952.0,59,Groceries,17,1183.06
CUST0244,1951-05-04,Male,131425.0,25,,7,229.99
CUST0245,1954-09-20,Male,,85,Clothing,28,
CUST0246,1967-01-08,Female,62161.0,45,Groceries,1,27.97
CUST0247,1975-11-30,Male,74725.0,90,,7,470.77
CUST0248,1974-02-14,Female,76756.0,30,Groceries,28,644.75
CUST0249,1986-11-14,M,142998.0,48,Clothing,2,137.28
CUST0250,1999-04-01,Female,129197.0,,Sports,9,
CUST0251,1962-04-01,Male,133052.0,97,Electronics,23,2968.39
CUST0252,1991-08-02,Female,113029.0,94,Groceries,15,1593.71
CUST0253,1956-07-26,Female,38726.0,40,,3,46.47
CUST0254,1945-02-09,Female,59715.0,69,Sports,7,288.42
CUST0255,1999-08-08,Male,98423.0,52,Clothing,23,1177.14
CUST0256,1974-06-28,Male,89538.0,61,Sports,10,546.18
CUST0257,2004-07-23,Female,131553.0,63,Clothing,11,911.66
CUST0258,1946-05-02,Male,113451.0,84,Toys,22,2096.57
CUST0259,1999-04-15,Female,116540.0,59,Furniture,28,1925.24
CUST0260,1974-06-24,Female,91310.0,63,Electronics,7,402.68
CUST0261,1944-03-19,Female,76024.0,46,Groceries,23,804.33
CUST0262,2003-07-12,Female,70113.0,33,,21,485.88
CUST0263,2007-01-15,Female,75297.0,17,Furniture,23,294.41
CUST0264,1982-08-06,Female,96627.0,16,Clothing,15,231.9
CUST0265,1961-08-21,Female,75166.0,94,Clothing,5,353.28
CUST0266,1993-11-21,MALE,120627.0,47,Electronics,10,566.95
CUST0267,1945-08-15,Female,72726.0,50,Clothing,12,436.36
CUST0268,1960-12-05,Male,139885.0,15,,9,188.84
CUST0269,1969-11-28,male,80158.0,32,Electronics,20,513.01
CUST0270,1951-10-18,N/A,73386.0,73,Clothing,16,857.15
CUST0271,1948-08-28,Female,98203.0,78,Sports,11,842.58
CUST0272,1997-08-17,Female,146392.0,74,Clothing,11,1191.63
CUST0273,2004-09-07,Female,95121.0,97,Furniture,27,2491.22
CUST0274,1997-07-20,Female,55817.0,51,Clothing,14,398.53
CUST0275,1965-01-18,Female,29792.0,4,,6,7.15
CUST0276,1992-04-27,Male,63286.0,14,Furniture,22,194.92
CUST0277,1954-01-12,F,129487.0,57,Sports,29,2140.42
CUST0278,1954-10-19,FEMALE,,48,Groceries,22,
CUST0279,1986-06-27,Female,83868.0,3,Groceries,15,37.74
CUST0280,1950-11-11,MALE,108991.0,24,Clothing,13,340.05
CUST0281,1968-11-28,Male,57632.0,39,Electronics,24,539.44
CUST0282,1945-05-05,Male,90603.0,2,Clothing,16,28.99
CUST0283,1948-11-01,Female,97216.0,59,Clothing,26,1491.29
CUST0284,1980-01-30,Female,25957.0,68,Groceries,4,70.6
CUST0285,1944-04-02,Male,,95,Groceries,15,
CUST0286,1976-11-14,Male,135353.0,30,Toys,9,365.45
CUST0287,1973-09-09,Male,95769.0,64,Electronics,20,1225.84
CUST0288,1962-08-07,Male,109502.0,81,Sports,5,443.48
CUST0289,1975-09-28,Female,85029.0,77,Electronics,1,65.47
CUST0290,1979-05-27,Female,81648.0,24,Clothing,2,39.19
CUST0291,1993-06-28,Male,51827.0,60,Sports,5,155.48
CUST0292,1968-09-12,Male,31578.0,94,Clothing,7,207.78
CUST0293,2002-07-02,Male,,51,Furniture,14,
CUST0294,1983-07-16,Male,62226.0,,Furniture,9,
CUST0295,2004-07-17,Female,107926.0,25,Clothing,4,107.93
CUST0296,1965-01-23,Female,60261.0,N/A,Groceries,12,
CUST0297,1954-08-19,Male,78933.0,82,Groceries,1,64.73
CUST0298,1971-10-15,Female,118485.0,62,,28,2056.9
CUST0299,1959-01-11,Female,106632.0,47,Furniture,24,1202.81
CUST0300,1992-05-09,Female,124377.0,,Toys,28,
CUST0301,1953-08-16,Female,24363.0,68,,4,66.27
CUST0302,1978-07-05,Female,140087.0,67,Groceries,11,1032.44
CUST0303,1995-07-06,Other,109601.0,95,Clothing,7,728.85
CUST0304,1983-04-22,Female,112679.0,94,Electronics,12,1271.02
CUST0305,1998-06-10,Female,28592.0,8,Electronics,1,2.29
CUST0306,1953-05-05,Female,67825.0,81,,8,439.51
CUST0307,1951-01-08,Female,27584.0,57,Furniture,20,314.46
CUST0308,1980-07-11,Male,122127.0,66,,13,1047.85
CUST0309,1946-08-21,Female,138523.0,91,Sports,24,3025.34
CUST0310,1955-01-13,Female,77971.0,53,Clothing,19,785.17
CUST0311,1966-05-25,Female,22806.0,32,,17,124.06
CUST0312,1945-10-20,female,52957.0,11,Sports,18,104.85
CUST0313,1987-05-23,Female,113891.0,54,Sports,18,1107.02
CUST0314,1999-04-27,Female,52322.0,85,Electronics,5,222.37
CUST0315,1973-11-29,Male,113078.0,37,Clothing,17,711.26
CUST0316,2006-05-11,Male,59783.0,9,Electronics,13,69.95
CUST0317,1979-06-06,Male,124853.0,30,Groceries,4,149.82
CUST0318,1957-09-03,Male,61053.0,93,Clothing,7,397.46
CUST0319,1959-01-16,Female,30605.0,48,Clothing,1,14.69
CUST0320,1991-05-05,Female,133726.0,48,Sports,11,706.07
CUST0321,1965-01-08,Female,60495.0,2,Furniture,7,8.47
CUST0322,2004-07-14,FEMALE,93485.0,24,Electronics,15,336.55
CUST0323,2006-08-19,Male,143613.0,28,Sports,5,201.06
CUST0324,1966-10-05,Female,30535.0,26,Clothing,16,127.03
CUST0325,1993-05-11,Male,40084.0,11,Electronics,29,127.87
CUST0326,1960-09-06,Male,105890.0,62,Sports,22,1444.34
CUST0327,1976-06-01,Male,23838.0,27,Clothing,10,64.36
CUST0328,1996-07-07,Female,46757.0,33,Furniture,19,293.17
CUST0329,1975-01-30,Male,95468.0,22,Clothing,1,21.0
CUST0330,1983-03-24,Female,25177.0,61,Sports,20,307.16
CUST0331,1951-04-22,female,108067.0,47,Sports,1,50.79
CUST0332,1961-02-10,Female,30609.0,N/A,Furniture,26,
CUST0333,1987-01-06,Female,48238.0,24,Groceries,18,208.39
CUST0334,1994-09-24,Female,142161.0,34,Clothing,21,1015.03
CUST0335,1966-10-24,Female,34365.0,82,Toys,26,732.66
CUST0336,1973-12-16,Male,68126.0,20,Groceries,24,327.0
CUST0337,2006-06-05,Female,133930.0,92,Electronics,26,3203.61
CUST0338,2003-12-04,Male,135736.0,88,Clothing,27,3225.09
CUST0339,1991-05-25,Male,123918.0,26,Groceries,12,386.62
CUST0340,1950-06-10,Female,93786.0,20,Electronics,18,337.63
CUST0341,1994-09-16,Male,21131.0,9,Sports,6,11.41
CUST0342,1992-01-06,Female,38279.0,86,Furniture,13,427.96
CUST0343,2002-06-26,male,72712.0,46,Sports,2,66.9
CUST0344,1997-05-23,Female,112785.0,91,Electronics,22,2257.96
CUST0345,1972-08-22,Male,117794.0,47,Toys,19,1051.9
CUST0346,1997-09-22,Male,97947.0,19,Sports,13,241.93
CUST0347,1957-10-18,Female,65871.0,80,Electronics,24,1264.72
CUST0348,1950-12-18,FEMALE,60199.0,67,Furniture,6,242.0
CUST0349,1954-12-10,Female,101053.0,27,Clothing,4,109.14
CUST0350,1949-10-19,Female,127383.0,50,Furniture,23,1464.9
CUST0351,2004-02-16,Male,136778.0,40,Clothing,20,1094.22
CUST0352,1979-05-19,Male,147123.0,100,Clothing,28,4119.44
CUST0353,2002-05-14,Male,129134.0,82,,30,3176.7
CUST0354,1970-12-13,Male,98491.0,54,Toys,11,585.04
CUST0355,2001-05-12,Female,52052.0,76,Clothing,3,118.68
CUST0356,1950-03-01,Female,144209.0,45,Groceries,16,1038.3
CUST0357,1973-09-15,Female,82279.0,13,Groceries,7,74.87
CUST0358,1993-12-18,Female,123885.0,64,Sports,10,792.86
CUST0359,1988-10-07,Male,64338.0,97,Sports,15,936.12
CUST0360,1993-07-12,Female,74324.0,78,Electronics,26,1507.29
CUST0361,1999-06-25,Male,87464.0,13,Furniture,27,307.0
CUST0362,1948-09-02,Female,128954.0,,Electronics,15,
CUST0363,1950-02-03,Male,78622.0,,Groceries,29,
CUST0364,1993-03-13,,83486.0,43,Electronics,6,215.39
CUST0365,1966-12-08,Female,119372.0,16,Groceries,12,229.19
CUST0366,1995-04-14,Male,63976.0,16,Electronics,24,245.67
CUST0367,1954-07-13,Male,133497.0,32,Sports,11,469.91
CUST0368,1998-03-09,Female,75175.0,23,Clothing,16,276.64
CUST0369,1974-05-07,Female,52834.0,18,Sports,10,95.1
CUST0370,1988-11-24,Male,129969.0,85,Toys,5,552.37
CUST0371,1973-06-03,Male,110311.0,18,Toys,6,119.14
CUST0372,2006-09-30,Male,60510.0,7,Clothing,4,16.94
CUST0373,1947-09-12,Other,126819.0,,Furniture,2,
CUST0374,1965-12-15,Male,50686.0,,Clothing,1,
CUST0375,1966-06-04,Male,76805.0,13,Electronics,12,119.82
CUST0376,1978-07-24,Male,133132.0,20,Clothing,3,79.88
CUST0377,1958-01-02,Male,129224.0,9,Furniture,26,302.38
CUST0378,2006-11-15,Female,49157.0,76,Groceries,18,672.47
CUST0379,1969-09-03,Male,107676.0,50,Clothing,1,53.84
CUST0380,2000-07-30,Female,31591.0,87,Toys,20,549.68
CUST0381,2002-01-24,Female,43861.0,59,Electronics,2,51.76
CUST0382,1949-05-12,Male,80838.0,26,Furniture,3,63.05
CUST0383,1972-02-23,Male,64567.0,12,Furniture,19,147.21
CUST0384,1977-04-28,Male,91751.0,,Furniture,13,
CUST0385,1988-11-15,Male,144210.0,27,Sports,6,233.62
CUST0386,1982-08-11,Male,83634.0,9,Sports,6,45.16
CUST0387,1996-08-11,Male,87815.0,69,Toys,16,969.48
CUST0388,1952-04-05,Female,105561.0,86,Toys,30,2723.47
CUST0389,1990-07-26,Male,144789.0,86,Clothing,17,2116.82
CUST0390,1944-09-30,Female,87007.0,52,,30,1357.31
CUST0391,1967-01-31,Female,134572.0,37,Electronics,28,1394.17
CUST0392,1994-05-06,Female,90648.0,13,Electronics,13,153.2
CUST0393,2004-04-12,Female,27168.0,,Sports,21,
CUST0394,1990-03-15,Female,139423.0,65,Sports,20,1812.5
CUST0395,1997-02-03,Female,114341.0,N/A,Toys,12,
CUST0396,1985-06-24,Male,94789.0,15,Furniture,29,412.33
CUST0397,1975-08-15,Female,96207.0,39,Furniture,9,337.69
CUST0398,1978-07-26,Female,82645.0,68,Electronics,8,449.59
CUST0399,1974-04-13,Female,58368.0,9,,10,52.53
CUST0400,1988-01-07,Male,68552.0,56,Clothing,21,806.17
CUST0401,1968-05-20,Male,,79,Furniture,12,
CUST0402,1953-01-17,Male,104568.0,89,Sports,29,2698.9
CUST0403,1974-03-26,Female,20679.0,13,Clothing,27,72.58
CUST0404,2004-04-09,Female,82857.0,60,Groceries,30,1491.43
CUST0405,1958-11-01,Male,103966.0,19,Toys,7,138.27
CUST0406,1978-09-27,Female,,N/A,Groceries,2,
CUST0407,2001-11-16,MALE,128568.0,44,Toys,24,1357.68
CUST0408,1967-11-15,Female,86948.0,68,Electronics,16,945.99
CUST0409,1945-08-12,Male,116878.0,62,Clothing,14,1014.5
CUST0410,1962-03-29,Male,54939.0,47,Clothing,14,361.5
CUST0411,1995-08-28,Female,37352.0,99,Groceries,24,887.48
CUST0412,1987-07-25,Female,86203.0,60,Furniture,13,672.38
CUST0413,1971-10-03,,108647.0,73,Groceries,15,1189.68
CUST0414,1969-08-10,Female,50306.0,33,,13,215.81
CUST0415,2002-10-19,Male,90926.0,25,Toys,19,431.9
CUST0416,1980-02-02,Female,70129.0,48,Clothing,14,471.27
CUST0417,1988-12-05,Female,39770.0,30,Furniture,1,11.93
CUST0418,1958-05-27,Male,124372.0,30,,22,820.86
CUST0419,1976-06-10,Female,101965.0,30,Electronics,14,428.25
